Date,ADA,BTC,ETH
2022-08-09 23:58:00,0.51362177,23150.9,1702.67
2022-08-10 23:58:00,0.537381068,23948.9,1854.05
2022-08-11 23:58:00,0.531205004,23941.6,1881.63
2022-08-12 23:58:00,0.540489808,24412.6,1961.05
2022-08-13 23:58:00,0.560097515,24461.8,1982.92
2022-08-14 23:58:00,0.569523767,24316.3,1936.05
2022-08-15 23:58:00,0.550172687,24097.8,1899.39
2022-08-16 23:58:00,0.557866744,23857.9,1876.57
2022-08-17 23:58:00,0.53725022,23341.1,1834.61
2022-08-18 23:58:00,0.511482949,23189.4,1845.57
2022-08-19 23:58:00,0.450572073,20834.9,1607.49
2022-08-20 23:58:00,0.450611676,21158.8,1577.22
2022-08-21 23:58:00,0.462701978,21510.4,1616.88
2022-08-22 23:58:00,0.460872737,21398.2,1624.78
2022-08-23 23:58:00,0.465114662,21515.1,1661.76
2022-08-24 23:58:00,0.457483569,21368.7,1656.11
2022-08-25 23:58:00,0.464505083,21591.5,1695.29
2022-08-26 23:58:00,0.430925172,20209.0,1503.62
2022-08-27 23:58:00,0.449660485,20051.5,1494.58
2022-08-28 23:58:00,0.42798438,19571.3,1426.77
2022-08-29 23:58:00,0.450721823,20275.6,1551.12
2022-08-30 23:58:00,0.451465403,19773.5,1524.81
2022-08-31 23:58:00,0.445794927,20048.2,1554.15
2022-09-01 23:58:00,0.458033921,20146.0,1587.39
2022-09-02 23:58:00,0.45311538,19931.5,1574.38
2022-09-03 23:58:00,0.480848171,19835.4,1557.62
2022-09-04 23:58:00,0.502299262,19982.3,1579.18
2022-09-05 23:58:00,0.497741635,19794.5,1617.82
2022-09-06 23:58:00,0.461796841,18815.3,1560.58
2022-09-07 23:58:00,0.481360591,19293.5,1629.47
2022-09-08 23:58:00,0.479422606,19329.1,1635.56
2022-09-09 23:58:00,0.502050528,21372.5,1718.14
2022-09-10 23:58:00,0.511984123,21679.4,1776.74
2022-09-11 23:58:00,0.508622535,21784.8,1764.13
2022-09-12 23:58:00,0.5031349,22402.6,1716.83
2022-09-13 23:58:00,0.464552769,20173.2,1574.71
2022-09-14 23:58:00,0.482930887,20227.7,1638.83
2022-09-15 23:58:00,0.46550556,19703.6,1467.38
2022-09-16 23:58:00,0.473192648,19768.0,1431.47
2022-09-17 23:58:00,0.486551513,20113.3,1468.92
2022-09-18 23:58:00,0.449559639,19417.6,1334.72
2022-09-19 23:58:00,0.453176781,19569.0,1378.46
2022-09-20 23:58:00,0.440068311,18878.0,1325.37
2022-09-21 23:58:00,0.439753812,18465.0,1245.65
2022-09-22 23:58:00,0.460467277,19432.3,1327.98
2022-09-23 23:58:00,0.462263103,19286.0,1326.82
2022-09-24 23:58:00,0.452785354,18923.2,1317.25
2022-09-25 23:58:00,0.446458231,18805.1,1296.04
2022-09-26 23:58:00,0.446222965,19241.5,1336.56
2022-09-27 23:58:00,0.443227856,19093.9,1327.92
2022-09-28 23:58:00,0.435374956,19395.0,1335.83
2022-09-29 23:58:00,0.437919335,19592.4,1335.97
2022-09-30 23:58:00,0.433861611,19452.2,1328.67
2022-10-01 23:58:00,0.43024639,19315.2,1311.76
2022-10-02 23:58:00,0.420022426,19059.7,1276.89
2022-10-03 23:58:00,0.428528225,19633.5,1323.37
2022-10-04 23:58:00,0.433147977,20345.1,1362.06
2022-10-05 23:58:00,0.431413282,20170.2,1353.33
2022-10-06 23:58:00,0.428433241,19965.6,1352.24
2022-10-07 23:58:00,0.424143881,19531.5,1330.99
2022-10-08 23:58:00,0.421692747,19419.3,1315.71
2022-10-09 23:58:00,0.42269479,19442.1,1323.41
2022-10-10 23:58:00,0.401759029,19139.8,1290.94
2022-10-11 23:58:00,0.391357855,19043.8,1279.86
2022-10-12 23:58:00,0.381029746,19153.9,1294.5
2022-10-13 23:58:00,0.377317981,19378.6,1288.0
2022-10-14 23:58:00,0.367221515,19195.6,1298.24
2022-10-15 23:58:00,0.36472792,19054.8,1273.98
2022-10-16 23:58:00,0.369463872,19271.0,1306.42
2022-10-17 23:58:00,0.372353606,19553.5,1331.49
2022-10-18 23:58:00,0.360632141,19330.2,1311.93
2022-10-19 23:58:00,0.350320101,19128.3,1284.93
2022-10-20 23:58:00,0.33986613,19040.8,1282.55
2022-10-21 23:58:00,0.348577998,19173.0,1300.07
2022-10-22 23:58:00,0.351405234,19206.5,1313.89
2022-10-23 23:58:00,0.361583615,19572.4,1364.06
2022-10-24 23:58:00,0.358073516,19330.4,1343.75
2022-10-25 23:58:00,0.402475784,20086.2,1460.3
2022-10-26 23:58:00,0.403230895,20775.4,1566.37
2022-10-27 23:58:00,0.388458179,20294.2,1514.45
2022-10-28 23:58:00,0.40402094,20609.8,1556.6
2022-10-29 23:58:00,0.420913259,20822.1,1620.31
2022-10-30 23:58:00,0.405412307,20631.4,1590.88
2022-10-31 23:58:00,0.406182047,20491.9,1572.69
2022-11-01 23:58:00,0.400940637,20481.5,1579.36
2022-11-02 23:58:00,0.385815637,20150.7,1518.04
2022-11-03 23:58:00,0.388976589,20209.0,1530.75
2022-11-04 23:58:00,0.422300818,21144.2,1645.59
2022-11-05 23:58:00,0.426980801,21301.2,1627.0
2022-11-06 23:58:00,0.402785336,20905.9,1571.31
2022-11-07 23:58:00,0.405322888,20591.9,1568.34
2022-11-08 23:58:00,0.371167908,18501.2,1330.28
2022-11-09 23:58:00,0.315464454,15757.2,1091.63
2022-11-10 23:58:00,0.367872645,17546.8,1295.35
2022-11-11 23:58:00,0.353316991,17011.5,1284.92
2022-11-12 23:58:00,0.33923519,16778.1,1253.34
2022-11-13 23:58:00,0.329042464,16301.3,1220.39
2022-11-14 23:58:00,0.331173745,16590.7,1240.68
2022-11-15 23:58:00,0.336719318,16880.7,1251.74
2022-11-16 23:58:00,0.331784562,16645.2,1215.19
2022-11-17 23:58:00,0.325188154,16680.4,1199.44
2022-11-18 23:58:00,0.325711295,16680.4,1210.8
2022-11-19 23:58:00,0.328463919,16683.0,1216.34
2022-11-20 23:58:00,0.310020297,16252.5,1140.07
2022-11-21 23:58:00,0.304446475,15760.1,1105.91
2022-11-22 23:58:00,0.311651437,16147.7,1133.31
2022-11-23 23:58:00,0.31856886,16600.7,1184.24
2022-11-24 23:58:00,0.315103302,16585.5,1202.84
2022-11-25 23:58:00,0.314017876,16498.4,1198.33
2022-11-26 23:58:00,0.313264577,16452.2,1204.8
2022-11-27 23:58:00,0.313409278,16420.9,1193.46
2022-11-28 23:58:00,0.306316122,16206.2,1168.33
2022-11-29 23:58:00,0.309309147,16432.4,1216.58
2022-11-30 23:58:00,0.319607567,17173.4,1294.14
2022-12-01 23:58:00,0.313337542,16958.4,1275.41
2022-12-02 23:58:00,0.319047716,17093.2,1295.63
2022-12-03 23:58:00,0.319546119,16906.2,1242.08
2022-12-04 23:58:00,0.322587639,17131.4,1281.41
2022-12-05 23:58:00,0.319344961,16964.9,1258.56
2022-12-06 23:58:00,0.318184893,17087.8,1271.88
2022-12-07 23:58:00,0.310259128,16841.1,1232.7
2022-12-08 23:58:00,0.314359601,17253.2,1281.17
2022-12-09 23:58:00,0.311454999,17120.0,1262.95
2022-12-10 23:58:00,0.312490508,17115.6,1266.45
2022-12-11 23:58:00,0.307492987,17085.2,1262.92
2022-12-12 23:58:00,0.306833787,17214.5,1275.01
2022-12-13 23:58:00,0.314528728,17773.1,1319.17
2022-12-14 23:58:00,0.308024025,17805.7,1308.24
2022-12-15 23:58:00,0.300148828,17350.2,1265.89
2022-12-16 23:58:00,0.264225416,16604.6,1166.98
2022-12-17 23:58:00,0.266822352,16781.6,1188.0
2022-12-18 23:58:00,0.265882652,16741.1,1183.32
2022-12-19 23:58:00,0.252748008,16439.7,1167.59
2022-12-20 23:58:00,0.258784685,16907.5,1217.65
2022-12-21 23:58:00,0.253143147,16803.3,1212.43
2022-12-22 23:58:00,0.256534334,16815.6,1217.47
2022-12-23 23:58:00,0.259277725,16777.2,1220.27
2022-12-24 23:58:00,0.25914787,16837.5,1220.51
2022-12-25 23:58:00,0.259065827,16829.0,1218.21
2022-12-26 23:58:00,0.26536756,16917.9,1227.58
